Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Angle_roll,Angle_pitch,Angle_yaw,Mag_X,Mag_Y,Mag_Z,Heading
0.097,0.03,1.016,-0.15,-0.04,-1.99,0.25,-5.99,15.83,43.13,-58.22,-34.9,53.46855583
0.095,0.024,1.007,0.01,-0.34,-1.74,0.29,-6.02,15.64,45.76,-59.18,-35.1,52.28757809
0.085,0.005,0.986,0.13,-0.62,-2.09,0.32,-6.03,15.45,43.74,-58.41,-35.88,53.17250179
0.09,0.017,1.008,-0.28,-0.37,-2.21,0.36,-6.03,15.24,44.75,-59.37,-34.9,52.99292444
0.092,0.022,1.003,-0.23,0.08,-2.19,0.38,-6.04,15.02,43.33,-57.27,-35.88,52.88915737
0.091,0.013,1.018,0.01,-0.29,-2.31,0.41,-6.04,14.79,43.33,-57.27,-35.88,52.88915737
0.087,0.019,0.994,-0.23,-0.76,-2.48,0.43,-6.05,14.54,43.33,-57.27,-35.88,52.88915737
0.076,0.023,0.968,-0.52,-0.34,-2.54,0.42,-6.07,14.29,42.32,-57.07,-36.08,53.44138421
0.093,0.008,0.968,-0.78,-0.06,-2.24,0.39,-6.07,14.03,42.32,-57.07,-36.08,53.44138421
0.102,0.015,0.999,-0.57,0.17,-2.9,0.37,-6.05,13.76,42.32,-57.07,-36.08,53.44138421
0.081,0.006,0.998,-0.8,0.02,-2.97,0.34,-6.02,13.48,44.14,-58.8,-35.88,53.1051654
0.085,0.011,0.995,0.06,0.25,-2.92,0.33,-5.98,13.2,44.55,-56.5,-35.1,51.7443771
0.095,0.012,1.001,-0.58,0.67,-3.2,0.34,-5.93,12.9,44.95,-57.27,-35.88,51.87238866
0.094,0.015,0.978,0.09,0.18,-3.19,0.37,-5.88,12.6,43.13,-58.22,-34.51,53.46855583
0.088,0.019,0.988,-0.03,0.07,-3.17,0.43,-5.86,12.27,43.13,-58.22,-34.51,53.46855583
0.103,0.015,1.001,0.45,-0.03,-3.42,0.49,-5.85,11.93,44.55,-56.5,-34.71,51.7443771
0.092,0.026,1.026,0.21,0.12,-3.56,0.57,-5.86,11.58,44.14,-56.5,-35.88,52.00166114
0.081,0.013,0.988,0.15,-0.58,-3.62,0.65,-5.87,11.22,43.33,-56.88,-35.1,52.7006044
